epoch, train_loss, train_acc
1, 1.4544727155924453, 0.46718
2, 1.0076547951039756, 0.64228
3, 0.802011165015228, 0.71592
4, 0.6743105278752953, 0.76434
5, 0.5976531021582806, 0.79208
6, 0.5395883457435061, 0.8121
7, 0.4933956250205369, 0.83044
8, 0.45631490163790905, 0.8408
9, 0.42598377004303895, 0.85184
10, 0.3983999767038218, 0.8628
11, 0.3730968808960122, 0.8708
12, 0.35008599664396645, 0.87956
13, 0.33688108523940796, 0.88298
14, 0.31602341104346465, 0.89254
15, 0.30637360282261356, 0.89396
16, 0.2960474877177602, 0.89782
17, 0.28281766747879555, 0.90296
18, 0.27402193192630775, 0.90422
19, 0.26083746609632924, 0.91044
20, 0.25533402815956596, 0.91306
