epoch, train_loss, train_acc
1, 1.288291977799457, 0.53084
2, 0.8243223483605153, 0.70592
3, 0.6086872957094246, 0.78506
4, 0.445940933950112, 0.84352
5, 0.30138640936530764, 0.89582
6, 0.17904701596483244, 0.94156
7, 0.08339848633274398, 0.97694
8, 0.030595389976049474, 0.99448
9, 0.010211301990725157, 0.99942
10, 0.004385753592495304, 0.99998
11, 0.003020262521932192, 1.0
12, 0.0023798861161536534, 1.0
13, 0.0019825663143063863, 1.0
14, 0.0018388423313925048, 1.0
15, 0.0017094441025298746, 1.0
16, 0.001513264074092707, 1.0
17, 0.0014237609995312302, 1.0
18, 0.0013710495061896113, 1.0
19, 0.0012888130644048133, 1.0
20, 0.0012276724611809168, 1.0
21, 0.0012420282957901526, 1.0
22, 0.0012072259146372413, 1.0
23, 0.0011383743908749346, 1.0
24, 0.001121539709931168, 1.0
25, 0.0011083778771607544, 1.0
26, 0.0010825299976162535, 1.0
27, 0.0010994745908505129, 1.0
28, 0.0010632390605674012, 1.0
29, 0.0010453612743722052, 1.0
30, 0.0010473921186709896, 1.0
