epoch, train_loss, train_acc
1, 1.8543100686329406, 0.29284
2, 1.871182993854708, 0.28972
3, 1.8020243330684769, 0.31034
4, 1.744589814444637, 0.32604
5, 1.7053604357687713, 0.3382
6, 1.6772834891858308, 0.35472
7, 1.6682882116883613, 0.35418
8, 1.6578831986698044, 0.3636
9, 1.6470211387595253, 0.36966
10, 1.6396851594490773, 0.37084
11, 1.6365908503227526, 0.37284
12, 1.6305008330918334, 0.3692
13, 1.6296305991804507, 0.37394
14, 1.6273685144951275, 0.37462
15, 1.6214582676167988, 0.38018
16, 1.6245799238419594, 0.38156
17, 1.6190639322676013, 0.38254
18, 1.619736583946306, 0.37994
19, 1.6182803220456214, 0.38114
20, 1.6162166247892258, 0.3821
21, 1.6215294535507632, 0.38046
22, 1.6141293341546412, 0.38082
23, 1.6143455514517586, 0.38434
24, 1.6159686600155843, 0.3809
25, 1.6157005900312262, 0.38082
26, 1.6160578069174687, 0.381
27, 1.616189326471685, 0.38194
28, 1.61258161891147, 0.37822
29, 1.612649851747791, 0.37762
30, 1.612905291035352, 0.38122
