epoch, train_loss, train_acc
1, 1.320190817803678, 0.51914
2, 0.8396682102052148, 0.7001
3, 0.6376718818531621, 0.77666
4, 0.5302108070429634, 0.8144
5, 0.4349741690680194, 0.84848
6, 0.3716410906494731, 0.87144
7, 0.32079056069216766, 0.8903
8, 0.29091012283511786, 0.89808
9, 0.2625947151609394, 0.9087
10, 0.24367702573232944, 0.91598
11, 0.23268669382538026, 0.91914
12, 0.22312662325551746, 0.92292
13, 0.2122694977256648, 0.92712
14, 0.20426640480451877, 0.93108
15, 0.19771655382174055, 0.9324
16, 0.20015951533756599, 0.9304
17, 0.19076457842612815, 0.93514
18, 0.18207043813317633, 0.93838
19, 0.19934718928221243, 0.93128
20, 0.1782296494678463, 0.9399
21, 0.18824055702294534, 0.9364
22, 0.17892866538804206, 0.9398
23, 0.1826685171412385, 0.93758
24, 0.1829771843102887, 0.93694
25, 0.18094099545494066, 0.938
26, 0.17848650705250327, 0.93768
27, 0.17123453713515224, 0.94242
28, 0.17383835791512522, 0.94158
29, 0.17677518976923753, 0.93948
30, 0.16921197891692677, 0.94328
