epoch, train_loss, train_acc
1, 1.3588732776739407, 0.5037
2, 0.891707167448595, 0.6838
3, 0.6777344740870054, 0.7617
4, 0.5237014461356355, 0.81696
5, 0.38721349023644575, 0.86752
6, 0.18328053172668227, 0.9507
7, 0.13013547731330022, 0.97224
8, 0.10350698810975875, 0.98144
9, 0.08336505229058473, 0.98806
10, 0.06857563675288349, 0.99208
11, 0.05596987160441973, 0.99586
12, 0.05389436501580888, 0.99648
13, 0.052984827319565025, 0.99648
14, 0.05205133257200346, 0.99652
15, 0.050914175560712205, 0.99682
16, 0.05001126954813138, 0.99694
17, 0.04980020720006712, 0.99702
18, 0.050008719024793875, 0.997
19, 0.049440007413858955, 0.99716
20, 0.04987030613052723, 0.997
21, 0.04946312303547664, 0.99704
22, 0.04939785628767727, 0.99718
23, 0.04952311378134334, 0.99716
24, 0.04947256808028654, 0.997
25, 0.049558923477330784, 0.997
26, 0.04911436470192107, 0.9972
27, 0.04923929554193526, 0.99702
28, 0.049097258645250365, 0.99726
29, 0.04941108843783283, 0.99708
30, 0.049195198175471154, 0.99694
