epoch, train_loss, train_acc
1, 2.0576775293520955, 0.26828
2, 1.6206235458783786, 0.39836
3, 1.5010488228419858, 0.44842
4, 1.4365430869104918, 0.47112
5, 1.4087309950148053, 0.4815
6, 1.3936984487201856, 0.48892
7, 1.3829375353005842, 0.49198
8, 1.3807610773369479, 0.49202
9, 1.3715506255474237, 0.49762
10, 1.3657893719880476, 0.5
11, 1.3582174320659979, 0.50264
12, 1.3589749281363719, 0.50184
13, 1.3531586495811676, 0.50382
14, 1.3501189355655094, 0.50596
15, 1.3510667853952978, 0.50536
16, 1.3505188659633822, 0.50288
17, 1.3483420207982173, 0.50676
18, 1.353415031262371, 0.50314
19, 1.345090249005486, 0.50806
20, 1.3549095029416292, 0.5009
21, 1.3493537347944802, 0.50398
22, 1.3550678116586201, 0.50404
23, 1.3502940570606905, 0.50346
24, 1.3459101479376674, 0.50272
25, 1.348818501243201, 0.50502
26, 1.3533294167360077, 0.5029
27, 1.3456871753458477, 0.50564
28, 1.3436933527212314, 0.5048
29, 1.3547647825592315, 0.5034
30, 1.345021718908149, 0.5063
