epoch, train_loss, train_acc
1, 1.8321345385992924, 0.33654
2, 1.3817963615402846, 0.49122
3, 1.2624686450299705, 0.53944
4, 1.214615031124076, 0.55846
5, 1.194001657426205, 0.56386
6, 1.178052849629346, 0.57348
7, 1.1647936648420056, 0.5771
8, 1.1547954273040948, 0.58348
9, 1.1394359419108047, 0.5866
10, 1.1238633717417412, 0.59522
11, 1.1180933646838684, 0.59906
12, 1.1071542278884927, 0.60222
13, 1.1017810775495855, 0.60742
14, 1.0931142842983042, 0.60876
15, 1.0916629308629828, 0.60982
16, 1.0813015955488394, 0.61466
17, 1.0871916341659662, 0.61194
18, 1.0816618191921497, 0.61532
19, 1.074713133485116, 0.6168
20, 1.0800248600942703, 0.61278
21, 1.0677764171834492, 0.62052
22, 1.071463024677218, 0.61384
23, 1.0732016069504915, 0.6161
24, 1.0674473265247881, 0.61962
25, 1.0641367781497633, 0.622
26, 1.063546549938524, 0.62232
27, 1.066200584401865, 0.62078
28, 1.0689734888198736, 0.62008
29, 1.0659533543964785, 0.61916
30, 1.0626382833856451, 0.6184
